Year,State,County,County ANSI,Value
2017,INDIANA,WHITE,181,185.4
2017,INDIANA,HARRISON,61,162.5
2017,INDIANA,JACKSON,71,166.7
2017,INDIANA,LAWRENCE,93,175.6
2017,INDIANA,MONROE,105,156.4
2017,INDIANA,ORANGE,117,198.2
2017,INDIANA,OTHER (COMBINED) COUNTIES,,167.7
2017,INDIANA,PERRY,123,179.6
2017,INDIANA,WASHINGTON,175,172.6
2017,INDIANA,CLARK,19,158.8
2017,INDIANA,DEARBORN,29,168.3
2017,INDIANA,FRANKLIN,47,177.7
2017,INDIANA,JEFFERSON,77,167.8
2017,INDIANA,JENNINGS,79,171.4
2017,INDIANA,OHIO,115,170.8
2017,INDIANA,RIPLEY,137,185.9
2017,INDIANA,SCOTT,143,166.9
2017,INDIANA,SWITZERLAND,155,170.9
2017,INDIANA,DAVIESS,27,194
2017,INDIANA,DUBOIS,37,198.1
2017,INDIANA,GIBSON,51,194.6
2017,INDIANA,GREENE,55,161.1
2017,INDIANA,KNOX,83,184.7
2017,INDIANA,OTHER (COMBINED) COUNTIES,,186.2
2017,INDIANA,POSEY,129,190.1
2017,INDIANA,SPENCER,147,196.3
2017,INDIANA,SULLIVAN,153,179.9
2017,INDIANA,VANDERBURGH,163,194
2017,INDIANA,WARRICK,173,182.4
2017,INDIANA,CLAY,21,189.6
2017,INDIANA,FOUNTAIN,45,183.7
2017,INDIANA,MONTGOMERY,107,200
2017,INDIANA,OWEN,119,156.1
2017,INDIANA,PARKE,121,178.6
2017,INDIANA,PUTNAM,133,180
2017,INDIANA,TIPPECANOE,157,180.3
2017,INDIANA,VERMILLION,165,188
2017,INDIANA,VIGO,167,186.7
2017,INDIANA,WARREN,171,206
2016,INDIANA,BARTHOLOMEW,5,171.2
2016,INDIANA,BOONE,11,180.1
2016,INDIANA,CLINTON,23,190.6
2016,INDIANA,DECATUR,31,178.9
2016,INDIANA,HAMILTON,57,179.5
2016,INDIANA,HANCOCK,59,172.4
2016,INDIANA,HENDRICKS,63,178.8
2016,INDIANA,HOWARD,67,192.7
2016,INDIANA,JOHNSON,81,160.9
2016,INDIANA,MADISON,95,181.1
2016,INDIANA,MORGAN,109,166
2016,INDIANA,OTHER (COMBINED) COUNTIES,,178.7
2016,INDIANA,RUSH,139,188.8
2016,INDIANA,SHELBY,145,165
2016,INDIANA,TIPTON,159,198.5
2016,INDIANA,BLACKFORD,9,173.9
2016,INDIANA,DELAWARE,35,165
2016,INDIANA,FAYETTE,41,173.2
2016,INDIANA,HENRY,65,177.6
2016,INDIANA,JAY,75,167.3
2016,INDIANA,RANDOLPH,135,165.8
2016,INDIANA,UNION,161,177.1
2016,INDIANA,WAYNE,177,167.2
2016,INDIANA,CARROLL,15,197.8
2016,INDIANA,CASS,17,189.6
2016,INDIANA,ELKHART,39,158.7
2016,INDIANA,FULTON,49,176.7
2016,INDIANA,KOSCIUSKO,85,164.8
2016,INDIANA,MARSHALL,99,169
2016,INDIANA,MIAMI,103,167.2
2016,INDIANA,ST. JOSEPH,141,149.2
2016,INDIANA,WABASH,169,177.3
2016,INDIANA,ADAMS,1,159.5
2016,INDIANA,ALLEN,3,157.9
2016,INDIANA,DE KALB,33,146.4
2016,INDIANA,LAGRANGE,87,134.1
2016,INDIANA,NOBLE,113,157.1
2016,INDIANA,OTHER (COMBINED) COUNTIES,,177.3
2016,INDIANA,STEUBEN,151,147.6
2016,INDIANA,WHITLEY,183,161.2
2016,INDIANA,BENTON,7,199.2
2016,INDIANA,JASPER,73,180.1
2016,INDIANA,LA PORTE,91,147.9
2016,INDIANA,LAKE,89,177.4
2016,INDIANA,NEWTON,111,204.7
2016,INDIANA,PORTER,127,173.3
2016,INDIANA,PULASKI,131,158.8
2016,INDIANA,STARKE,149,142.7
2016,INDIANA,WHITE,181,189.2
2016,INDIANA,FLOYD,43,128.6
2016,INDIANA,HARRISON,61,149.8
2016,INDIANA,JACKSON,71,161.1
2016,INDIANA,LAWRENCE,93,144.6
2016,INDIANA,MONROE,105,160.7
2016,INDIANA,ORANGE,117,162.3
2016,INDIANA,OTHER (COMBINED) COUNTIES,,126.3
2016,INDIANA,WASHINGTON,175,147.8
2016,INDIANA,CLARK,19,140.5
2016,INDIANA,DEARBORN,29,162.1
2016,INDIANA,FRANKLIN,47,175.3
2016,INDIANA,JEFFERSON,77,148.8
2016,INDIANA,JENNINGS,79,156.6
2016,INDIANA,OHIO,115,150
2016,INDIANA,RIPLEY,137,157.9
2016,INDIANA,SCOTT,143,142.2
2016,INDIANA,SWITZERLAND,155,158.2
2016,INDIANA,DAVIESS,27,171.9
2016,INDIANA,DUBOIS,37,143.3
2016,INDIANA,GIBSON,51,161.7
2016,INDIANA,GREENE,55,156
2016,INDIANA,KNOX,83,169.7
2016,INDIANA,MARTIN,101,160.7
2016,INDIANA,PIKE,125,146.5
2016,INDIANA,POSEY,129,144
2016,INDIANA,SPENCER,147,149.1
2016,INDIANA,SULLIVAN,153,164.1
2016,INDIANA,VANDERBURGH,163,154
2016,INDIANA,WARRICK,173,134.6
2016,INDIANA,FOUNTAIN,45,191.8
2016,INDIANA,MONTGOMERY,107,200
2016,INDIANA,OTHER (COMBINED) COUNTIES,,182.7
2016,INDIANA,OWEN,119,160.5
2016,INDIANA,PARKE,121,182.8
2016,INDIANA,VERMILLION,165,197.5
